Ai,$C_{1}$,$C_{2}$,$C_{3}$,$C_{4}$,$C_{5}$,$C_{6}$,$C_{7}$,$C_{8}$,$C_{9}$,$C_{10}$,$C_{11}$,$C_{12}$,$C_{13}$,$C_{14}$,$C_{15}$,$C_{16}$,$C_{17}$,$C_{18}$,$C_{19}$,$C_{20}$,$C_{21}$,Rank
$A_{38}$,1068.0,0.0,0.7,1.0,9.0,0.0,51.0,0.5,124.0,4.0,15.0,1405.0,1910.0,550.0,12.0,8.0,6.0,1.0,1.0,0.0,0.0,742
$A_{39}$,1323.0,1.0,2.5,1.0,10.0,1.0,28.0,0.2,131.0,4.0,12.0,162.0,619.0,1892.0,10.0,0.0,15.0,1.0,1.0,1.0,1.0,10
$A_{40}$,1063.0,0.0,1.5,0.0,7.0,0.0,3.0,0.9,155.0,4.0,10.0,394.0,849.0,1919.0,12.0,10.0,20.0,1.0,1.0,0.0,1.0,1378
$A_{41}$,685.0,0.0,0.5,1.0,8.0,1.0,13.0,0.8,82.0,7.0,15.0,1091.0,1203.0,3210.0,15.0,7.0,2.0,1.0,1.0,1.0,3.0,225
$A_{42}$,1490.0,1.0,0.5,1.0,4.0,1.0,64.0,0.3,150.0,8.0,8.0,1417.0,1464.0,3600.0,17.0,9.0,7.0,1.0,1.0,1.0,3.0,11
$A_{43}$,688.0,1.0,2.5,0.0,9.0,0.0,40.0,0.2,109.0,5.0,20.0,376.0,1957.0,1382.0,12.0,7.0,8.0,0.0,1.0,0.0,1.0,892
$A_{44}$,539.0,1.0,0.6,1.0,9.0,0.0,21.0,0.1,145.0,7.0,14.0,551.0,599.0,3597.0,14.0,5.0,9.0,0.0,0.0,0.0,2.0,1094
$A_{45}$,1183.0,1.0,0.5,1.0,3.0,1.0,48.0,0.1,120.0,8.0,12.0,268.0,1010.0,1152.0,8.0,3.0,3.0,1.0,0.0,0.0,0.0,489
$A_{46}$,587.0,1.0,2.3,1.0,4.0,0.0,6.0,0.7,170.0,1.0,16.0,612.0,1793.0,2777.0,9.0,2.0,14.0,1.0,1.0,0.0,2.0,672
$A_{47}$,1713.0,0.0,3.0,1.0,5.0,1.0,20.0,0.9,104.0,7.0,17.0,237.0,890.0,971.0,11.0,10.0,10.0,1.0,0.0,0.0,0.0,847
$A_{48}$,630.0,0.0,2.0,0.0,9.0,1.0,14.0,0.5,180.0,8.0,13.0,66.0,1448.0,1212.0,12.0,8.0,12.0,1.0,0.0,0.0,0.0,1277
$A_{49}$,1254.0,0.0,1.2,1.0,2.0,0.0,50.0,0.7,108.0,5.0,6.0,462.0,1013.0,3959.0,10.0,4.0,17.0,1.0,1.0,0.0,3.0,1184
$A_{50}$,1872.0,1.0,0.5,1.0,14.0,0.0,49.0,0.2,139.0,7.0,18.0,81.0,1389.0,3153.0,16.0,15.0,5.0,1.0,1.0,0.0,3.0,284
$A_{51}$,1218.0,0.0,1.8,1.0,1.0,1.0,14.0,0.5,147.0,3.0,4.0,229.0,616.0,398.0,17.0,0.0,5.0,1.0,0.0,0.0,0.0,1259
$A_{52}$,1339.0,1.0,2.3,1.0,0.0,0.0,40.0,0.1,123.0,2.0,1.0,212.0,1269.0,2382.0,6.0,4.0,7.0,1.0,0.0,1.0,2.0,745
$A_{53}$,563.0,1.0,0.5,1.0,2.0,1.0,41.0,0.9,145.0,5.0,6.0,1263.0,1716.0,2603.0,11.0,2.0,9.0,1.0,1.0,0.0,2.0,300
$A_{54}$,1263.0,1.0,2.0,0.0,0.0,0.0,5.0,0.4,146.0,6.0,3.0,954.0,1609.0,1958.0,9.0,6.0,4.0,1.0,1.0,1.0,2.0,712
$A_{55}$,1278.0,1.0,1.0,0.0,7.0,1.0,24.0,0.8,170.0,3.0,16.0,1352.0,1775.0,3141.0,6.0,2.0,11.0,1.0,1.0,1.0,3.0,218
$A_{56}$,1057.0,1.0,2.7,0.0,3.0,1.0,41.0,0.1,97.0,4.0,10.0,397.0,891.0,2033.0,16.0,9.0,2.0,1.0,1.0,0.0,1.0,433
$A_{57}$,1560.0,0.0,2.3,0.0,0.0,1.0,22.0,0.8,169.0,7.0,1.0,745.0,1364.0,1938.0,15.0,11.0,16.0,1.0,1.0,1.0,2.0,633
$A_{58}$,733.0,1.0,0.6,1.0,0.0,0.0,63.0,0.3,105.0,7.0,10.0,950.0,1739.0,984.0,17.0,4.0,9.0,1.0,0.0,1.0,0.0,409
$A_{59}$,1412.0,0.0,0.6,0.0,9.0,0.0,57.0,0.2,86.0,3.0,10.0,2.0,660.0,1853.0,15.0,10.0,18.0,0.0,0.0,1.0,1.0,1381
$A_{60}$,1476.0,0.0,0.5,0.0,0.0,1.0,43.0,0.7,148.0,2.0,2.0,1789.0,1972.0,3644.0,15.0,10.0,6.0,1.0,0.0,1.0,3.0,1177
$A_{61}$,1992.0,1.0,1.6,0.0,5.0,1.0,57.0,1.0,100.0,2.0,15.0,1552.0,1596.0,606.0,9.0,3.0,4.0,1.0,1.0,1.0,1.0,146
$A_{62}$,1899.0,1.0,0.6,0.0,0.0,0.0,26.0,0.1,151.0,2.0,0.0,96.0,814.0,336.0,13.0,11.0,4.0,1.0,0.0,1.0,0.0,1088
$A_{63}$,1972.0,0.0,1.2,1.0,0.0,0.0,37.0,0.7,102.0,2.0,1.0,715.0,1648.0,2870.0,16.0,0.0,17.0,0.0,0.0,0.0,3.0,1562
$A_{64}$,1694.0,0.0,1.8,0.0,0.0,0.0,53.0,1.0,186.0,6.0,0.0,1194.0,1208.0,1653.0,7.0,5.0,6.0,1.0,0.0,0.0,2.0,1585
$A_{65}$,1469.0,0.0,2.1,0.0,0.0,0.0,8.0,0.7,123.0,7.0,0.0,398.0,1133.0,1052.0,8.0,1.0,3.0,0.0,1.0,0.0,0.0,1544
$A_{66}$,730.0,0.0,2.1,1.0,0.0,1.0,4.0,0.1,89.0,8.0,2.0,302.0,1247.0,1210.0,19.0,15.0,4.0,1.0,1.0,1.0,0.0,135
$A_{67}$,1502.0,1.0,1.2,0.0,0.0,0.0,54.0,0.2,138.0,5.0,12.0,65.0,588.0,3693.0,17.0,14.0,16.0,1.0,1.0,0.0,3.0,978
$A_{68}$,1589.0,0.0,2.6,0.0,9.0,0.0,46.0,0.4,84.0,3.0,16.0,618.0,940.0,2373.0,11.0,9.0,20.0,1.0,1.0,0.0,2.0,1214
$A_{69}$,1891.0,0.0,2.8,0.0,7.0,1.0,37.0,0.4,129.0,7.0,14.0,169.0,1108.0,3704.0,8.0,6.0,11.0,1.0,0.0,0.0,3.0,1363
$A_{70}$,582.0,0.0,0.5,1.0,3.0,0.0,27.0,0.2,168.0,3.0,10.0,985.0,1420.0,2437.0,19.0,2.0,2.0,1.0,1.0,1.0,2.0,710
$A_{71}$,1608.0,0.0,1.8,1.0,7.0,0.0,28.0,0.4,183.0,2.0,13.0,1013.0,1158.0,489.0,15.0,11.0,8.0,0.0,0.0,1.0,0.0,963
$A_{72}$,1175.0,0.0,0.6,0.0,10.0,0.0,25.0,0.1,145.0,2.0,12.0,137.0,1501.0,3153.0,9.0,4.0,12.0,1.0,0.0,0.0,2.0,1553
$A_{73}$,918.0,0.0,0.9,1.0,1.0,0.0,8.0,0.1,123.0,7.0,5.0,653.0,671.0,1652.0,17.0,4.0,14.0,1.0,1.0,0.0,1.0,1074
$A_{74}$,1174.0,0.0,0.7,1.0,1.0,1.0,25.0,0.8,91.0,2.0,8.0,1097.0,1461.0,285.0,19.0,7.0,3.0,1.0,0.0,1.0,0.0,651
$A_{75}$,1125.0,1.0,2.7,0.0,10.0,0.0,23.0,0.4,117.0,1.0,14.0,774.0,939.0,1641.0,14.0,8.0,12.0,1.0,1.0,0.0,1.0,786
$A_{76}$,1089.0,1.0,0.9,1.0,12.0,1.0,2.0,0.7,145.0,5.0,15.0,636.0,1259.0,2765.0,13.0,12.0,10.0,1.0,0.0,1.0,2.0,108
$A_{77}$,658.0,1.0,2.7,0.0,0.0,1.0,12.0,0.9,103.0,7.0,3.0,1156.0,1750.0,3587.0,14.0,11.0,20.0,1.0,0.0,0.0,3.0,1068
$A_{78}$,755.0,1.0,2.8,0.0,5.0,1.0,51.0,0.3,186.0,4.0,12.0,315.0,990.0,2734.0,10.0,1.0,16.0,1.0,0.0,1.0,2.0,504
$A_{79}$,1611.0,1.0,0.5,1.0,11.0,0.0,3.0,0.6,98.0,3.0,14.0,303.0,714.0,1595.0,8.0,4.0,9.0,1.0,0.0,1.0,1.0,535
$A_{80}$,714.0,1.0,2.1,1.0,5.0,1.0,11.0,0.1,197.0,3.0,6.0,1750.0,1857.0,1164.0,15.0,12.0,19.0,1.0,1.0,0.0,1.0,69
$A_{81}$,1065.0,0.0,1.7,1.0,4.0,1.0,48.0,0.3,162.0,6.0,8.0,1188.0,1948.0,265.0,8.0,0.0,12.0,1.0,0.0,0.0,0.0,918
$A_{82}$,832.0,1.0,0.5,0.0,5.0,1.0,22.0,0.6,198.0,1.0,8.0,343.0,1431.0,1666.0,15.0,4.0,20.0,1.0,1.0,1.0,1.0,226
$A_{83}$,893.0,0.0,2.5,1.0,0.0,0.0,55.0,0.6,183.0,2.0,1.0,417.0,946.0,2986.0,7.0,1.0,6.0,0.0,1.0,1.0,2.0,993
$A_{84}$,1178.0,1.0,1.3,0.0,0.0,0.0,49.0,0.6,101.0,5.0,0.0,579.0,596.0,2511.0,6.0,3.0,17.0,0.0,0.0,0.0,2.0,1541
$A_{85}$,1805.0,1.0,0.5,0.0,0.0,0.0,29.0,0.2,182.0,4.0,2.0,758.0,891.0,1276.0,19.0,4.0,17.0,0.0,1.0,0.0,1.0,1265
$A_{86}$,831.0,0.0,1.7,1.0,7.0,1.0,26.0,0.7,177.0,5.0,11.0,511.0,621.0,1704.0,6.0,5.0,20.0,1.0,1.0,1.0,0.0,118
$A_{87}$,817.0,0.0,1.3,0.0,0.0,0.0,11.0,0.5,144.0,3.0,11.0,722.0,766.0,2039.0,11.0,6.0,19.0,0.0,1.0,0.0,1.0,1525
$A_{88}$,1414.0,1.0,1.5,1.0,5.0,0.0,44.0,0.5,180.0,2.0,6.0,44.0,1118.0,3490.0,16.0,12.0,13.0,0.0,1.0,0.0,3.0,799
$A_{89}$,1496.0,1.0,1.9,1.0,13.0,0.0,38.0,0.1,126.0,4.0,14.0,501.0,506.0,1927.0,17.0,4.0,6.0,0.0,0.0,1.0,1.0,451
$A_{90}$,1482.0,0.0,0.5,0.0,2.0,0.0,48.0,0.2,142.0,7.0,10.0,634.0,642.0,2971.0,12.0,8.0,12.0,1.0,1.0,1.0,2.0,974
$A_{91}$,1062.0,0.0,0.5,0.0,3.0,1.0,39.0,0.9,124.0,4.0,4.0,571.0,817.0,1345.0,16.0,0.0,11.0,1.0,0.0,1.0,0.0,1159
$A_{92}$,1876.0,0.0,2.8,1.0,3.0,1.0,56.0,0.4,182.0,3.0,4.0,235.0,585.0,3021.0,12.0,2.0,18.0,1.0,0.0,0.0,2.0,1075
$A_{93}$,1083.0,1.0,2.9,1.0,1.0,1.0,39.0,1.0,173.0,8.0,2.0,523.0,542.0,3248.0,8.0,6.0,6.0,1.0,0.0,1.0,2.0,275
$A_{94}$,777.0,1.0,2.6,0.0,3.0,0.0,30.0,0.9,148.0,5.0,17.0,189.0,1143.0,3886.0,14.0,10.0,7.0,1.0,0.0,0.0,3.0,1427
$A_{95}$,1620.0,0.0,2.6,1.0,6.0,0.0,5.0,0.9,186.0,6.0,18.0,434.0,1339.0,1086.0,18.0,14.0,13.0,1.0,0.0,0.0,1.0,1298
$A_{96}$,733.0,0.0,2.1,0.0,5.0,1.0,7.0,0.2,174.0,7.0,10.0,445.0,1409.0,1403.0,15.0,8.0,2.0,1.0,1.0,0.0,0.0,904
$A_{97}$,1021.0,0.0,1.3,0.0,7.0,0.0,9.0,0.7,192.0,2.0,12.0,901.0,1793.0,1355.0,6.0,1.0,14.0,1.0,1.0,0.0,1.0,1429
$A_{98}$,1504.0,0.0,1.5,0.0,12.0,1.0,34.0,0.7,142.0,8.0,15.0,507.0,973.0,2806.0,7.0,2.0,7.0,1.0,0.0,1.0,2.0,927
$A_{99}$,1001.0,0.0,2.8,1.0,1.0,0.0,40.0,0.2,117.0,3.0,7.0,922.0,1836.0,3654.0,13.0,9.0,10.0,1.0,1.0,1.0,3.0,542
$A_{100}$,1310.0,0.0,1.4,0.0,0.0,0.0,33.0,0.4,105.0,1.0,14.0,806.0,1016.0,1301.0,13.0,12.0,19.0,0.0,0.0,1.0,1.0,1455
$A_{101}$,511.0,0.0,0.9,1.0,15.0,1.0,24.0,0.6,136.0,3.0,18.0,367.0,1264.0,2378.0,18.0,3.0,4.0,1.0,0.0,0.0,1.0,903
$A_{102}$,641.0,1.0,1.1,0.0,0.0,1.0,7.0,0.9,192.0,1.0,3.0,417.0,759.0,3595.0,7.0,5.0,19.0,1.0,1.0,1.0,2.0,414
$A_{103}$,805.0,0.0,0.8,0.0,1.0,0.0,34.0,0.6,88.0,6.0,2.0,1262.0,1538.0,3647.0,18.0,11.0,9.0,1.0,0.0,1.0,3.0,1445
$A_{104}$,1801.0,0.0,0.5,1.0,6.0,0.0,52.0,0.9,120.0,6.0,10.0,100.0,1708.0,258.0,14.0,8.0,9.0,1.0,0.0,0.0,0.0,1355
$A_{105}$,744.0,0.0,1.7,1.0,0.0,1.0,33.0,0.5,105.0,4.0,2.0,1252.0,1963.0,2700.0,9.0,3.0,19.0,1.0,0.0,0.0,2.0,1154
$A_{106}$,1588.0,1.0,2.5,0.0,12.0,1.0,4.0,0.3,148.0,5.0,20.0,146.0,822.0,2506.0,5.0,3.0,11.0,1.0,0.0,0.0,2.0,900
$A_{107}$,1834.0,0.0,2.1,0.0,7.0,1.0,40.0,0.1,99.0,4.0,11.0,0.0,1987.0,3692.0,13.0,0.0,16.0,1.0,1.0,0.0,3.0,1000
$A_{108}$,1082.0,0.0,0.8,0.0,0.0,0.0,38.0,0.1,198.0,8.0,5.0,986.0,1191.0,2337.0,6.0,1.0,17.0,0.0,1.0,1.0,2.0,1276
$A_{109}$,1600.0,0.0,0.5,0.0,1.0,1.0,16.0,0.3,94.0,4.0,16.0,1315.0,1710.0,2073.0,9.0,5.0,4.0,1.0,1.0,0.0,2.0,1107
$A_{110}$,1159.0,0.0,2.7,0.0,13.0,1.0,28.0,0.2,80.0,8.0,18.0,378.0,751.0,2495.0,10.0,0.0,9.0,1.0,1.0,1.0,2.0,357
$A_{111}$,1270.0,1.0,0.6,1.0,2.0,1.0,32.0,0.5,101.0,7.0,6.0,299.0,845.0,3770.0,5.0,3.0,13.0,1.0,1.0,0.0,3.0,336
$A_{112}$,1995.0,1.0,1.9,0.0,6.0,0.0,9.0,0.8,139.0,6.0,18.0,1830.0,1963.0,1203.0,14.0,12.0,18.0,1.0,1.0,1.0,2.0,295
$A_{113}$,1229.0,0.0,0.5,1.0,15.0,0.0,14.0,0.8,191.0,2.0,16.0,120.0,1878.0,1667.0,17.0,6.0,17.0,0.0,0.0,1.0,1.0,1037
$A_{114}$,1404.0,0.0,2.1,0.0,16.0,0.0,44.0,0.9,151.0,1.0,20.0,1703.0,1880.0,1196.0,10.0,6.0,5.0,0.0,0.0,1.0,1.0,1302
$A_{115}$,864.0,0.0,1.6,1.0,0.0,1.0,53.0,0.3,88.0,6.0,1.0,262.0,1436.0,493.0,18.0,9.0,10.0,1.0,1.0,0.0,0.0,519
$A_{116}$,1509.0,0.0,0.6,1.0,5.0,0.0,50.0,0.3,81.0,4.0,8.0,1010.0,1684.0,1540.0,12.0,8.0,3.0,1.0,1.0,0.0,1.0,926
$A_{117}$,1286.0,1.0,2.3,0.0,10.0,1.0,16.0,0.1,98.0,2.0,18.0,18.0,662.0,424.0,10.0,5.0,4.0,1.0,1.0,0.0,0.0,383
$A_{118}$,1053.0,1.0,0.8,1.0,7.0,1.0,45.0,0.3,103.0,1.0,12.0,594.0,1767.0,3086.0,17.0,6.0,5.0,1.0,1.0,1.0,3.0,32
$A_{119}$,1772.0,1.0,1.6,0.0,17.0,1.0,45.0,0.5,159.0,2.0,18.0,837.0,1405.0,1146.0,6.0,1.0,17.0,1.0,1.0,0.0,1.0,272
$A_{120}$,1949.0,1.0,1.4,0.0,7.0,0.0,57.0,0.3,145.0,7.0,11.0,951.0,1178.0,356.0,5.0,3.0,19.0,0.0,0.0,0.0,0.0,1330
$A_{121}$,1673.0,1.0,1.6,0.0,2.0,0.0,42.0,0.5,182.0,5.0,6.0,214.0,679.0,3094.0,12.0,4.0,20.0,0.0,0.0,0.0,2.0,1516
$A_{122}$,1011.0,0.0,1.1,0.0,4.0,1.0,36.0,0.2,131.0,7.0,18.0,481.0,749.0,2261.0,7.0,6.0,16.0,1.0,1.0,1.0,1.0,406
$A_{123}$,1487.0,0.0,1.5,0.0,5.0,1.0,42.0,0.8,120.0,2.0,7.0,857.0,989.0,2003.0,12.0,4.0,3.0,1.0,0.0,0.0,2.0,1491
$A_{124}$,808.0,0.0,0.5,1.0,0.0,0.0,8.0,0.1,192.0,4.0,1.0,618.0,1891.0,3762.0,15.0,9.0,12.0,1.0,0.0,1.0,3.0,1240
$A_{125}$,720.0,1.0,1.4,1.0,0.0,1.0,61.0,0.6,96.0,7.0,8.0,1347.0,1733.0,2799.0,5.0,3.0,15.0,1.0,0.0,1.0,3.0,231
$A_{126}$,1786.0,0.0,0.5,0.0,9.0,1.0,58.0,0.7,161.0,7.0,10.0,231.0,1671.0,2764.0,9.0,3.0,7.0,1.0,1.0,1.0,3.0,634
$A_{127}$,1606.0,0.0,1.4,0.0,3.0,0.0,57.0,0.1,154.0,4.0,4.0,1127.0,1924.0,3454.0,13.0,8.0,20.0,0.0,0.0,1.0,3.0,1451
$A_{128}$,1882.0,1.0,1.3,1.0,8.0,0.0,47.0,0.2,140.0,2.0,13.0,119.0,652.0,2500.0,17.0,1.0,11.0,0.0,0.0,1.0,2.0,720
$A_{129}$,1907.0,0.0,2.0,0.0,13.0,0.0,55.0,0.9,105.0,7.0,15.0,713.0,1513.0,286.0,14.0,4.0,17.0,1.0,0.0,1.0,0.0,1069
$A_{130}$,1317.0,0.0,1.8,1.0,2.0,0.0,43.0,0.5,113.0,5.0,3.0,179.0,613.0,3436.0,16.0,13.0,5.0,0.0,1.0,1.0,3.0,870
$A_{131}$,547.0,0.0,1.9,1.0,1.0,0.0,37.0,0.4,154.0,5.0,4.0,371.0,541.0,2705.0,17.0,3.0,10.0,1.0,1.0,0.0,1.0,1108
$A_{132}$,1056.0,1.0,2.1,1.0,8.0,1.0,37.0,0.7,101.0,3.0,11.0,914.0,979.0,2651.0,15.0,5.0,3.0,1.0,1.0,1.0,2.0,24
$A_{133}$,775.0,0.0,1.0,0.0,3.0,0.0,46.0,0.7,159.0,2.0,16.0,862.0,1864.0,568.0,17.0,15.0,11.0,1.0,1.0,1.0,0.0,805
$A_{134}$,1591.0,1.0,2.2,0.0,3.0,1.0,49.0,0.4,154.0,6.0,7.0,1384.0,1883.0,3703.0,17.0,6.0,20.0,1.0,1.0,0.0,3.0,418
$A_{135}$,1005.0,0.0,0.5,0.0,0.0,0.0,46.0,0.4,133.0,8.0,17.0,176.0,1556.0,3884.0,17.0,0.0,20.0,0.0,1.0,1.0,3.0,1281
$A_{136}$,1614.0,0.0,1.2,0.0,1.0,1.0,9.0,0.1,161.0,3.0,2.0,173.0,1219.0,1832.0,15.0,8.0,11.0,1.0,0.0,0.0,1.0,1470
$A_{137}$,895.0,0.0,0.5,1.0,6.0,0.0,16.0,0.3,164.0,8.0,14.0,126.0,1575.0,3122.0,7.0,0.0,4.0,0.0,0.0,1.0,2.0,1312
$A_{138}$,899.0,1.0,2.7,0.0,3.0,1.0,53.0,0.3,192.0,4.0,11.0,641.0,1638.0,2870.0,19.0,16.0,10.0,1.0,0.0,1.0,2.0,341
$A_{139}$,1583.0,1.0,1.6,0.0,5.0,1.0,42.0,0.8,118.0,3.0,10.0,275.0,862.0,3652.0,14.0,10.0,9.0,1.0,0.0,0.0,3.0,1095
$A_{140}$,1379.0,0.0,1.1,1.0,1.0,1.0,18.0,0.2,129.0,2.0,16.0,838.0,885.0,2358.0,10.0,5.0,15.0,1.0,1.0,0.0,2.0,659
